pub_date	title	venue	excerpt	citation	url_slug	paper_url
5/13/22	A Hierarchical Local Electricity Market for a DER-Rich Grid Edge	IEEE Transactions on Smart Grid		"Nair, V. J., Venkataramanan, V., Haider, R., & Annaswamy, A. M. (2022). A hierarchical local electricity market for a der-rich grid edge. IEEE Transactions on Smart Grid, 14(2), 1353-1366."	tsg_lem22	https://ieeexplore.ieee.org/abstract/document/9774996
5/31/23	Voltage regulation in distribution grids: A survey	Annual Reviews in Control		"Srivastava, P., Haider, R., Nair, V. J., Venkataramanan, V., Annaswamy, A. M., & Srivastava, A. K. (2023). Voltage regulation in distribution grids: A survey. Annual Reviews in Control."	arc_vc23	https://www.sciencedirect.com/science/article/abs/pii/S1367578823000123
1/10/19	Electric vehicle charge scheduling on highway networks from an aggregate cost perspective	Preprint		"Anderson, S., & Nair, V. J. (2019). Electric vehicle charge scheduling on highway networks from an aggregate cost perspective. arXiv preprint arXiv:1901.03017."	ev_schedule19	https://arxiv.org/abs/1901.03017
2/1/21	Estimation of cumulative prospect theory-based passenger behavioral models for dynamic pricing & transactive control of shared mobility on demand	MIT  Master's Thesis		"Jagadeesan Nair, V. (2021). Estimation of cumulative prospect theory-based passenger behavioral models for dynamic pricing & transactive control of shared mobility on demand (Master's dissertation, Massachusetts Institute of Technology)."	sm_thesis21	https://dspace.mit.edu/handle/1721.1/130826
6/9/23	Human Behavioral Models Using Utility Theory and Prospect Theory	Cyber Physical Human Systems: Fundamentals and Applications		"Annaswamy, A. M., & Jagadeesan Nair, V. (2023). Human Behavioral Models Using Utility Theory and Prospect Theory. Cyber–Physical–Human Systems: Fundamentals and Applications, 25-41."	cphs23	https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119857433.ch2 
1/16/23	Impacts of dynamic line ratings on the ERCOT transmission system	2022 North American Power Symposium (NAPS)		"Lee, T., Nair, V. J., & Sun, A. (2022, October). Impacts of dynamic line ratings on the ERCOT transmission system. In 2022 North American Power Symposium (NAPS) (pp. 1-6). IEEE."	dlr22	https://ieeexplore.ieee.org/abstract/document/10012241
4/15/24	Enhancing power grid resilience to cyber-physical attacks using distributed retail electricity markets	15th ACM/IEEE International Conference on Cyber-Physical Systems (ICCPS)		"Nair, V. J., Srivastava, P., & Annaswamy, A. (2023). Enhancing power grid resilience to cyber-physical attacks using distributed retail electricity markets. ICCPS 2024."	iccps24	https://arxiv.org/abs/2311.05145
9/22/23	Local retail electricity markets for distribution grid services	2023 IEEE Conference on Control Technology and Applications (CCTA)		"Nair, V. J., & Annaswamy, A. (2023, August). Local retail electricity markets for distribution grid services. In 2023 IEEE Conference on Control Technology and Applications (CCTA) (pp. 32-39). IEEE."	ccta23	https://ieeexplore.ieee.org/abstract/document/10253334
12/20/22	"Optimal Design & Energy Management of Islanded, Hybrid Microgrids For Remote, Isolated Off-Grid Communities with No External Power Exchange"	University of Cambridge Master's Thesis		"Nair, V. J. (2022). Optimal Design & Energy Management of Islanded, Hybrid Microgrids For Remote, Isolated Off-Grid Communities with No External Power Exchange."	mphil_thesis19	https://www.preprints.org/manuscript/202212.0416/v1
12/8/22	Improving accuracy and convergence of federated learning edge computing methods for generalized DER forecasting applications in power grid	"Tackling Climate Change with Machine Learning Workshop, 36th Annual Conference on Neural Information Processing Systems (NeurIPS) 2023"		"Nair, V. J., Pereira, L., & ITI, L. Improving accuracy and convergence of federated learning edge computing methods for generalized DER forecasting applications in power grids."	fl_neurips22	https://www.climatechange.ai/papers/neurips2022/111
4/19/21	Sensitivity Analysis of Passenger Behavioral Model for Dynamic Pricing of Shared Mobility on Demand	Preprint		"Nair, V. J., Guan, Y., Annaswamy, A. M., Tseng, H. E., & Singh, B. (2021). Sensitivity Analysis of Passenger Behavioral Model for Dynamic Pricing of Shared Mobility on Demand. arXiv preprint arXiv:2104.08985."	sensitivity20	https://arxiv.org/abs/2104.08985
6/7/24	"A game-theoretic, market-based approach to extract flexibility from distributed energy resources"	Submitted to 2024 5th IFAC Workshop on Cyber-Physical Human Systems		"Nair, V. J. and, Annaswamy, A. M. (2024). A game-theoretic, market-based approach to extract flexibility from distributed energy resources. arXiv preprint arXiv:2406.06844."	cphs_game_theory24	http://arxiv.org/abs/2406.06844
6/12/24	Circuit-aware distributed optimal voltage control for distribution grids.	"MIT ""A+B"" Applied Energy Symposium (MITAB 2024)"		"*Hartmann, L., *Nair, V.J., Annaswamy, A. M. (2024) “Circuit-aware distributed optimal voltage control for distribution grids.” MIT “A+B” Applied Energy Symposium (MITAB 2024)."	mitab24	https://github.com/vineetjnair9/vineetjnair9.github.io/blob/master/files/MITAB%202024_Abstract_V3.pdf
6/19/24	Accurate Federated Learning With Uncertainty Quantification For Distributed Energy Resource Forecasting Applied To Smart Grids Planning And Operation: The ALAMO Vision	International Conference On Electricity Distribution (CIRED) 2024 Vienna Workshop.		"Pereira, P., Nair, V.J., et al. ""Accurate Federated Learning With Uncertainty Quantification For Distributed Energy Resource Forecasting Applied To Smart Grids Planning And Operation: The ALAMO Vision."" International Conference On Electricity Distribution (CIRED) 2024 Vienna Workshop."	cired_eu24	https://www.alspereira.info/wp-content/uploads/2024/05/CIRED-2024.pdf
